asin,sale_price,mrp,product_url,full_title,product_image,product_price,brand,item_form,item_package_quantity,package_information,manufacturer,item_weight,item_dimensions_l_x_w_x_h,product_benefits,specific_uses_for_product,active_ingredients,number_of_items,age_range_(description),use_for,flavour,primary_supplement_type,net_quantity,special_ingredients,diet_type,colour,material,special_feature,style,recommended_uses_for_product,product_dimensions,water_resistance_level,opening_mechanism,net_content_count,scent,material_feature,item_volume,skin_type,allergen_information
B09SQJQHDT,₹68.89,₹17.22,https://www.amazon.in/dp/B09SQJQHDT,VIGORE 50 MG - Strip of 4 Tablets,https://m.media-amazon.com/images/I/81XWDICg12L._SX679_.jpg,₹68.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B085YR5P5L,₹40.87,₹1.36,https://www.amazon.in/dp/B085YR5P5L,Neurobion Forte - Strip of 30 Tablets,https://m.media-amazon.com/images/I/81JgAA-dQQL._SX679_.jpg,₹40.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B082MFPGK1,₹165.80,₹11.05,https://www.amazon.in/dp/B082MFPGK1,Pan 40 - Strip of 15 Tablets,https://m.media-amazon.com/images/I/91+2ghWgqcL._SX679_.jpg,₹165.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07DR8G2YP,₹562,₹56.20,https://www.amazon.in/dp/B07DR8G2YP,"Kapiva Dia Free Juice, 1L | Clinically Proven Diabetic care | Amla, Karela, Jamun, Guduchi & 7 More",https://m.media-amazon.com/images/I/61AGFQmJQBL._SX679_.jpg,₹562.00,Kapiva,Juice,1,Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01DQV8BIM,₹221,₹3.68,https://www.amazon.in/dp/B01DQV8BIM,Himalaya Ashvagandha - General Wellness Tablets | Stress Relief | Rejuvenates Mind & Body |60 Tablets,https://m.media-amazon.com/images/I/51TWpHLTb6L._SX679_.jpg,₹221.00,Himalaya,Tablet,120,Bottle,"Himalaya Wellness Company, shahyash729amazon@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,
B00CZ4SL32,₹54,₹9,https://www.amazon.in/dp/B00CZ4SL32,ENO Lemon Multipack Digestive Fruit Salt 30 gm ( Pack of 6 ),https://m.media-amazon.com/images/I/71HCaffrHnL._SX679_.jpg,₹54.00,ENO,Powder,,,,0.03 Kilograms,21.8 x 13.7 x 9.1 Centimeters,"Acidity Relief, Heartburn Relief, Throat Care","Acidity, Bloating, Heartburn",lemon,1,Adult,Stomach,,,,,,,,,,,,,,,,,,,
B01L6ZD59K,₹330,₹165,https://www.amazon.in/dp/B01L6ZD59K,Baidyanath Asli Ayurved Isabgol - Psyllium Husk Powder - 200Grams | Effectively Relieves Constipation | Fibre Supplement For Digestion,https://m.media-amazon.com/images/I/61auOniEoiL._SX679_.jpg,₹330.00,Baidyanath,Powder,,,,200 Grams,17.5 x 10.1 x 5.8 Centimeters,Weight Loss Support,,,,,,Unflavoured,Fiber,200.0 Grams,Psyllium,Vegetarian,,,,,,,,,,,,,,
B005M9NZTC,₹164,₹1.64,https://www.amazon.in/dp/B005M9NZTC,"Gasex Himalaya ,100 Tablets Improves Digestion Relieves Trapped Gasses Provides Relief From Bloating",https://m.media-amazon.com/images/I/61nw-aYiBSL._SX679_.jpg,₹164.00,Gasex,Tablet,,,,52 Grams,22 x 32 x 60 Millimeters,"Relief From,Relieves",Digestion,"Prativisha, Cowrie Bhasma, Shankha Bhasma, Maricha, Vidanga, Triphala, Sunthi",1,Adult,Stomach,,,,,,,,,,,,,,,,,,,
B083R2TP9W,₹44.34,₹4.43,https://www.amazon.in/dp/B083R2TP9W,Meftal-Spas - Strip of 10 Tablets,https://m.media-amazon.com/images/I/812rX1x1evL._SX679_.jpg,₹44.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B081V9GRJQ,₹5.02,₹0.36,https://www.amazon.in/dp/B081V9GRJQ,Ecosprin-75 - Strip of 14 Tablets,https://m.media-amazon.com/images/I/71mtKP91HHL._SX679_.jpg,₹5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08W36QBV9,₹234,₹23.40,https://www.amazon.in/dp/B08W36QBV9,Dabur Jamun Neem Karela Juice - 1L | Helps Control Blood Sugar Level & Reduces Bad Cholesterol | Good for Metabolic & Digestive Health | Ayurvedic Health Juice For Diabetic Care,https://m.media-amazon.com/images/I/815ISK5MWBL._SX679_.jpg,₹234.00,Dabur,Liquid,1,Bottle,"Dabur India Ltd, Dabur India Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,
B00U7A6M9G,₹246,₹4.10,https://www.amazon.in/dp/B00U7A6M9G,Himalaya Liv.52 DS Tablets 60,https://m.media-amazon.com/images/I/71IRtm0x+ZL._SX679_.jpg,₹246.00,Himalaya,Tablet,60,Bottle,"Himalaya, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",,,,,,,,,,,,,,,,,,,,,,,,,,,
B0D96H6V3V,₹292,₹4.87,https://www.amazon.in/dp/B0D96H6V3V,"Himalaya Shilajit Capsule|60s|Enhances Stamina,Energy and Power|Supports Healthy Testosterone Levels",https://m.media-amazon.com/images/I/518Yu3skYuL._SX679_.jpg,₹292.00,Himalaya,Capsule,,,,75 Grams,5.5 x 5.5 x 9.8 Centimeters,adult,,,,,,Unflavoured,B-Complex,60.0 Count,shilajit,Vegetarian,,,,,,,,,,,,,,
B0CD7JWPXF,₹269,₹29.89,https://www.amazon.in/dp/B0CD7JWPXF,"Zandu Pancharishta Ayurvedic Digestive Tonic 900ML | 15 Day Pack | Relief from Regular Gas, Bloating, Acidity & Indigestion From the Root",https://m.media-amazon.com/images/I/61Z+fB4vGoL._SX679_.jpg,₹269.00,Zandu,Liquid,,,,900 Grams,8.7 x 8.7 x 22.7 Centimeters,Digestive Health,"Acidity, Constipation, Indigestion",Herbs,1,All,,,,900.0 Milliliters,,,,,,,,,,,,,,,,
B07D3ZN77Z,₹205,₹205,https://www.amazon.in/dp/B07D3ZN77Z,Himalaya Wellness | Pilex Tablet | Piles Treatment | India’s most trusted piles treatment|60 Tablets,https://m.media-amazon.com/images/I/51meiz+rnoL._SX679_.jpg,₹205.00,Himalaya,Tablet,,,,0.14 Kilograms,6.1 x 4.8 x 9.2 Centimeters,Provides relief from constipation,"Hemorrhoid, Piles",Nimba,1,Adult,,,,1 Count,,,,,,,,,,,,,,,,
B0DCL7R7JY,₹299,"₹1,099",https://www.amazon.in/dp/B0DCL7R7JY,"INKULTURE Weekly Medicine Organizer Box 03 Times a Day, Tablets Container Case Travel Pill Box For 07 days | Black | 01 Pcs",https://m.media-amazon.com/images/I/61qZM2Pd9AL._SX679_.jpg,₹299.00,INKULTURE,,,Box,,,,,,,,,,,,,,,Black(m01),Plastic,Easy Open,,,,,,,,,,,
B074KRKRGW,₹297,₹9.90,https://www.amazon.in/dp/B074KRKRGW,Dabur Honitus Hot Sip: 100% Ayurvedic Kadha | Provides Instant Relief from Cough and Cold (4gm*Pack of 30 Sachets),https://m.media-amazon.com/images/I/812br4gHh+L._SX679_.jpg,₹297.00,Dabur,Granules,,,,120 Grams,7 x 4 x 6 Centimeters,"Cold and Flu Control, Cough Relief, Immune Support, Relieves Sneezing, Throat Care","Cold, Cough, Sore Throat","Shunthi, kantakari, tulsi, Honey",1,Kid,,,,30 Count,,,,,,,,,,,,,,,,
B084J19ZQ6,₹12.97,₹0.86,https://www.amazon.in/dp/B084J19ZQ6,Avil 25 - Strip of 15 Tablets,https://m.media-amazon.com/images/I/81XZuD9YdhL._SX679_.jpg,₹12.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B089KV1P27,₹674,₹5.62,https://www.amazon.in/dp/B089KV1P27,"Vlado's Himalayan Organics Calcium Magnesium Zinc Vitamin D3, B12 & K- 120 Vegetarian Tablets I Supplement For Women And Men, For Bone Health & Joint Support",https://m.media-amazon.com/images/I/61iabQ75uIL._SX679_.jpg,₹674.00,HIMALAYAN ORGANICS,Tablet,,,,200 Grams,6 x 6 x 10 Centimeters,"Bone & Joint Support, Energy Management, Muscle Growth",,,,,,Unflavoured,Calcium Magnesium Zinc Vitamin D3 & B12,120 Count,the special ingredients are:,Vegetarian,,,,,,,,,,,,,,
B0DCZ8JSNV,₹225,₹3.75,https://www.amazon.in/dp/B0DCZ8JSNV,Carbamide Forte Ashwagandha Tablets 1000mg | Organic Ashwagandha Powder Supplements for Men & Women for Stress And Anxiety Relief | Organic Tablets | 60 Tablets,https://m.media-amazon.com/images/I/71wHHE1ZF0L._SX679_.jpg,₹225.00,Carbamide Forte,Tablet,,,,50 Grams,10 x 5 x 10 Centimeters,Vegeterian Friendly,,,,,,Unflavoured,Ashwagandha,60 Count,Ashwagandha,Vegan,,,,,,,,,,,,,,
